user_id,product_id,event_time,event_type
e4ff950a08d8adfd9cdbf0564d3f8371,7b85e3deef35afd6ebed5461ee8f0641,2017-11-30 13:14:52,click
a45c587035f04bb1a2534cc22a987655,2635c3e7db0ac6cb3e733cac61ce0ba5,2017-02-08 19:44:22,click
9bbb164bce1773571bde10037092bc42,c2ece64199af7a53793ed9612a89a8cd,2018-02-17 16:49:08,click
0b654c00a7c2ec822f72fb88fb0510f2,af51d485dc5255ba2e18b21b550156e6,2017-07-06 13:30:07,click
0172748409ef8a6fcba0660cda36f38c,055b53c58f373d53438cefb346ffcbbf,2018-01-06 11:14:41,click
60ba10cea61a934e043ef4fb6b60ff04,6276a9c20b9182d92ffebdb0927c2653,2017-10-30 11:45:19,click
d0e8197510c87f449b4fd4291ac5f87b,c93558f621dc5b9277a19f009b83aaaf,2018-01-10 13:19:29,click
a25fb003bca8f89f1f293dff6a4bb460,a8b0dd2c57b49b649373ff5a495a697e,2018-03-05 17:42:35,click
37249a38bb2565aabae11a5b88e409d5,de8079863f52e090930c58a327e8c8e1,2018-03-22 13:27:34,click
517309570c755ca7336c759ad78c6919,2bfb0bdbcea77da2879f0ef3be9a219e,2018-03-21 14:15:19,click
a06524fca9b83c46872086690bd3ba2b,35557c68a22ecebcf066e25ca2ddc144,2017-08-23 08:52:23,click
2f7db0531d196c0cbe234cf0c97a313a,596faa581e9b1ca7d28a1c0777a8423b,2017-11-20 12:07:09,click
0bc0e9e36ef7cc3a227078978ea75d43,a742e0f6787ec4e2ae3a124d40d82c6c,2017-09-19 23:11:18,click
c319e614bd117152d6919546633c9cc4,cf6514025ef5d3a93d69d2a7bfa4036b,2018-02-09 09:25:56,click
70c4a16db23d6dd87b8de903e4f6b389,00de7f393d962717eeeb2d7131a40dba,2017-10-08 20:24:25,click
87b01be0c7f4ec17eafabf5f1588c306,4a5b6d3c24ac5f9eb93d07463ef04dba,2017-02-11 14:35:14,click
ff138dffd7d9e3feb88e9f70aecea743,3cc10293fcaadd63730fc96e8d136710,2017-07-09 21:08:43,click
ff3aa1123b9a7d52d6043adec012e33f,473795a355d29305c3ea6b156833adf5,2018-02-14 12:54:59,click
fa60dc846cc1ab755dd1768fc500b400,ca26080d8f0fa848c329fe732f5e34e8,2017-04-06 18:25:46,click
0d647c9d0665a42436b1286bce3163e6,5348d069341a567161f19fa9e1d6fec0,2018-07-27 20:11:12,click
51874468901543b327963cf39127a2ad,8246b1e9198f46fc3c05900f43568ba6,2018-06-25 10:58:23,click
9f102e6f6cb706fd6d34f95050a312d6,3dd2a17168ec895c781a9191c1e95ad7,2018-01-31 23:00:12,click
c35e714e688d2f434b7955d195b1753e,595fac2a385ac33a80bd5114aec74eb8,2018-02-18 13:13:37,click
08ecdefcac7e5d4d92cd6206d6401d09,5a848e4ab52fd5445cdc07aab1c40e48,2018-02-09 16:48:50,click
c8d3e4e2b05ce379a8f6416e2b34223f,d73378cc66536ea4da8b4026e23ec2cf,2017-06-28 20:20:23,click
446e77d0777423a19d093d39b7ef75ca,dc4f0da054d6a37385d337699c7ab043,2018-05-08 15:07:58,click
d3316a2b117f62c240ea5a483864dac5,bfb0b1ac4d2c3e1ebae4a01c3fcbfb1e,2017-05-17 22:10:06,click
e2eb5398a45cfd7e444a7a00105b794a,6bbe55cf8f85c87b6eebb775a53402f4,2017-12-09 10:04:40,click
a148f10ca6771ae483a760a535cd3f2e,d16f26b828b30dea74ce1eba8d9b396d,2018-06-28 21:12:37,click
0ea67385838ca5b2819a5422c7004a40,9754ea6652dc3e06be088797f85f4ee5,2017-11-20 11:44:27,click
e1b83eef480aab9aff380f6ae34685f0,f7b0ee6d481a76a7bed4f0a7d574a6e2,2017-10-09 15:28:52,click
7ec2b3ab3c32f06c03da19590065fadb,53b36df67ebb7c41585e8d54d6772e08,2017-12-12 13:46:29,click
9861f511b87644ae160dc9c9a0174596,3626035966a7aaee90d68108caebd386,2018-03-05 22:33:55,click
8125ae45f81d37b7158be0069ed0854b,766b2d2c334df279c3c6c7f138b9a38b,2017-05-30 17:33:25,click
427d898b8a06d03e1e805f09d82f250b,a4bca9d23228eeaf4e0169cb1a45aa62,2017-04-29 12:17:06,click
d042569e31dda17519847f4bfc9bd327,ac23312b29784c30304f2ec719891690,2017-02-14 16:38:30,purchase
599a693c1fb07cbc0aae49b4c6f54a24,8fbcb15797c830eb81cb3368ffe4a851,2017-08-05 11:13:09,click
f995b47806abc810ec42ba29991175a9,995a6110a2705a9401669fb4cf939241,2017-04-05 14:51:15,purchase
1d432d596d225cc4fb606b6502c123ac,428f4b96ba9f630e761b333673039ae6,2018-05-07 17:13:11,click
23786cea8b640b4add6ebb373091a6ac,08d708da93f03eb686328dbb33bb731e,2017-09-15 09:55:15,click
419845f531b2ca7b8151ed574bfe68ba,159dc4423e5092c3baa443379a458fa9,2017-06-06 22:19:22,click
353befc5812f0f140a6b2a8bc33ff309,1ba039173f93b4ad2c34545eb1f64f24,2017-06-19 23:20:53,purchase
eca7a7a7605b71a0a39b8aa40deaaefc,3fc18e3aefe7b9346bd15de863fa0365,2017-09-30 07:44:48,purchase
c46809cdeaa8e5698a9169c27de52b7b,595fac2a385ac33a80bd5114aec74eb8,2018-05-22 12:24:15,click
5dd80bdac6682cd84f82271ba232afbb,1612209b0b37fbe80e1e8e1b7d19ca1d,2017-06-06 08:42:33,click
cc60b47ce769ebe7b893aacf8cebfb43,be59d6c35e43e4bae41772d4b87136a4,2018-05-13 17:40:20,click
